导出, KERNEL32.dll
序列	地址	名字
00000001	7C80A6E4	ActivateActCtx
00000002	7C83551D	AddAtomA
00000003	7C8326F1	AddAtomW
00000004	7C871DFF	AddConsoleAliasA
00000005	7C871DC1	AddConsoleAliasW
00000006	7C859412	AddLocalAlternateComputerNameA
00000007	7C8592F6	AddLocalAlternateComputerNameW
00000008	7C82BF11	AddRefActCtx
00000009	7C809011	AddVectoredExceptionHandler
0000000A	7C872451	AllocConsole
0000000B	7C85F6D4	AllocateUserPhysicalPages
0000000C	7C83597F	AreFileApisANSI
0000000D	7C82E45A	AssignProcessToJobObject
0000000E	7C872639	AttachConsole
0000000F	7C85725A	BackupRead
00000010	7C856340	BackupSeek
00000011	7C8578B5	BackupWrite
00000012	7C816877	BaseCheckAppcompatCache
00000013	7C86CF46	BaseCleanupAppcompatCache
00000014	7C86CFCA	BaseCleanupAppcompatCacheSupport
00000015	7C86CE01	BaseDumpAppcompatCache
00000016	7C86CD7F	BaseFlushAppcompatCache
00000017	7C81656D	BaseInitAppcompatCache
00000018	7C82B38D	BaseInitAppcompatCacheSupport
00000019	7C8174E3	BaseProcessInitPostImport
0000001A	7C83838A	BaseQueryModuleData
0000001B	7C8151C0	BaseUpdateAppcompatCache
0000001C	7C8195B7	BasepCheckWinSaferRestrictions
0000001D	7C837AA7	Beep
0000001E	7C870DBB	BeginUpdateResourceA
0000001F	7C870C18	BeginUpdateResourceW
00000020	7C82C03C	BindIoCompletionCallback
00000021	7C86C02D	BuildCommDCBA
00000022	7C86BFFF	BuildCommDCBAndTimeoutsA
00000023	7C86C05F	BuildCommDCBAndTimeoutsW
00000024	7C86C0B9	BuildCommDCBW
00000025	7C860E36	CallNamedPipeA
00000026	7C860BE7	CallNamedPipeW
00000027	7C861BFF	CancelDeviceWakeupRequest
00000028	7C8300E2	CancelIo
00000029	7C863F58	CancelTimerQueueTimer
0000002A	7C82CC19	CancelWaitableTimer
0000002B	7C8127C3	ChangeTimerQueueTimer
0000002C	7C861AB9	CheckNameLegalDOS8Dot3A
0000002D	7C861879	CheckNameLegalDOS8Dot3W
0000002E	7C85AAF2	CheckRemoteDebuggerPresent
0000002F	7C867E31	ClearCommBreak
00000030	7C8666BF	ClearCommError
00000031	7C81D3F6	CloseConsoleHandle
00000032	7C809BE7	CloseHandle
00000033	7C82C87D	CloseProfileUserMapping
00000034	7C82F611	CmdBatNotification
00000035	7C8679B1	CommConfigDialogA
00000036	7C8678BD	CommConfigDialogW
00000037	7C810B79	CompareFileTime
00000038	7C80D117	CompareStringA
00000039	7C80A3FE	CompareStringW
0000003A	7C831463	ConnectNamedPipe
0000003B	7C8730FF	ConsoleMenuControl
0000003C	7C85B53D	ContinueDebugEvent
0000003D	7C8383FF	ConvertDefaultLocale
0000003E	7C82FEDF	ConvertFiberToThread
0000003F	7C82FF1E	ConvertThreadToFiber
00000040	7C8286EE	CopyFileA
00000041	7C85F39C	CopyFileExA
00000042	7C827B32	CopyFileExW
00000043	7C82F87B	CopyFileW
00000044	7C85989A	CopyLZFile
00000045	7C86C8E5	CreateActCtxA
00000046	7C8154FC	CreateActCtxW
00000047	7C8741A8	CreateConsoleScreenBuffer
00000048	7C8217AC	CreateDirectoryA
00000049	7C85C213	CreateDirectoryExA
0000004A	7C85B5CA	CreateDirectoryExW
0000004B	7C832402	CreateDirectoryW
0000004C	7C8308B5	CreateEventA
0000004D	7C80A749	CreateEventW
0000004E	7C82FFB7	CreateFiber
0000004F	7C82FFD7	CreateFiberEx
00000050	7C801A28	CreateFileA
00000051	7C80950A	CreateFileMappingA
00000052	7C80943C	CreateFileMappingW
00000053	7C810800	CreateFileW
00000054	7C86C769	CreateHardLinkA
00000055	7C86C5AC	CreateHardLinkW
00000056	7C83138D	CreateIoCompletionPort
00000057	7C86C4CC	CreateJobObjectA
00000058	7C82CB13	CreateJobObjectW
00000059	7C86C49E	CreateJobSet
0000005A	7C82CC9B	CreateMailslotA
0000005B	7C82CCEC	CreateMailslotW
0000005C	7C83968A	CreateMemoryResourceNotification
0000005D	7C80E9DF	CreateMutexA
0000005E	7C80E957	CreateMutexW
0000005F	7C860CDC	CreateNamedPipeA
00000060	7C82F0DD	CreateNamedPipeW
00000061	7C82AC6C	CreateNlsSecurityDescriptor
00000062	7C81D83F	CreatePipe
00000063	7C80236B	CreateProcessA
00000064	7C81D54E	CreateProcessInternalA
00000065	7C8197B0	CreateProcessInternalW
00000066	7C880311	CreateProcessInternalWSecure
00000067	7C802336	CreateProcessW
00000068	7C8104CC	CreateRemoteThread
00000069	7C812EBD	CreateSemaphoreA
0000006A	7C810126	CreateSemaphoreW
0000006B	7C86C7D4	CreateSocketHandle
0000006C	7C86C28E	CreateTapePartition
0000006D	7C8106D7	CreateThread
0000006E	7C82BFE6	CreateTimerQueue
0000006F	7C82117D	CreateTimerQueueTimer
00000070	7C865C7F	CreateToolhelp32Snapshot
00000071	7C834962	CreateVirtualBuffer
00000072	7C862C21	CreateWaitableTimerA
00000073	7C82FB5A	CreateWaitableTimerW
00000074	7C80A715	DeactivateActCtx
00000075	7C85B0FB	DebugActiveProcess
00000076	7C85B581	DebugActiveProcessStop
00000077	7C85AB46	DebugBreak
00000078	7C85B14E	DebugBreakProcess
00000079	7C85B175	DebugSetProcessKillOnExit
0000007A	7C809036	DecodePointer
0000007B	7C80904D	DecodeSystemPointer
0000007C	7C85D29D	DefineDosDeviceA
0000007D	7C821F1E	DefineDosDeviceW
0000007E	7C87EFED	DelayLoadFailureHook
0000007F	7C8326C5	DeleteAtom
00000080	7C80906A	DeleteCriticalSection
00000081	7C82FE8C	DeleteFiber
00000082	7C831EDD	DeleteFileA
00000083	7C831F63	DeleteFileW
00000084	7C863F2B	DeleteTimerQueue
00000085	7C863EE4	DeleteTimerQueueEx
00000086	7C821130	DeleteTimerQueueTimer
00000087	7C86B21E	DeleteVolumeMountPointA
00000088	7C86AA70	DeleteVolumeMountPointW
00000089	7C801629	DeviceIoControl
0000008A	7C811336	DisableThreadLibraryCalls
0000008B	7C81273F	DisconnectNamedPipe
0000008C	7C858ABB	DnsHostnameToComputerNameA
0000008D	7C82CEC2	DnsHostnameToComputerNameW
0000008E	7C832180	DosDateTimeToFileTime
0000008F	7C862939	DosPathToSessionPathA
00000090	7C82C1F7	DosPathToSessionPathW
00000091	7C81D4C5	DuplicateConsoleHandle
00000092	7C80DE9E	DuplicateHandle
00000093	7C809089	EncodePointer
00000094	7C8090A0	EncodeSystemPointer
00000095	7C870A89	EndUpdateResourceA
00000096	7C8708B4	EndUpdateResourceW
00000097	7C8090BD	EnterCriticalSection
00000098	7C838241	EnumCalendarInfoA
00000099	7C876889	EnumCalendarInfoExA
0000009A	7C8798BD	EnumCalendarInfoExW
0000009B	7C87989A	EnumCalendarInfoW
0000009C	7C8768CA	EnumDateFormatsA
0000009D	7C8768EA	EnumDateFormatsExA
0000009E	7C8798E0	EnumDateFormatsExW
0000009F	7C838811	EnumDateFormatsW
000000A0	7C876928	EnumLanguageGroupLocalesA
000000A1	7C879843	EnumLanguageGroupLocalesW
000000A2	7C82E010	EnumResourceLanguagesA
000000A3	7C860699	EnumResourceLanguagesW
000000A4	7C860291	EnumResourceNamesA
000000A5	7C855AE1	EnumResourceNamesW
000000A6	7C8600A4	EnumResourceTypesA
000000A7	7C8604B1	EnumResourceTypesW
000000A8	7C876967	EnumSystemCodePagesA
000000A9	7C87987F	EnumSystemCodePagesW
000000AA	7C879D19	EnumSystemGeoID
000000AB	7C87690A	EnumSystemLanguageGroupsA
000000AC	7C879825	EnumSystemLanguageGroupsW
000000AD	7C837D11	EnumSystemLocalesA
000000AE	7C879864	EnumSystemLocalesW
000000AF	7C8768AC	EnumTimeFormatsA
000000B0	7C8388EE	EnumTimeFormatsW
000000B1	7C876949	EnumUILanguagesA
000000B2	7C82A8DC	EnumUILanguagesW
000000B3	7C858A0F	EnumerateLocalComputerNamesA
000000B4	7C85888F	EnumerateLocalComputerNamesW
000000B5	7C86C25B	EraseTape
000000B6	7C8668D1	EscapeCommFunction
000000B7	7C81CB12	ExitProcess
000000B8	7C80C0F8	ExitThread
000000B9	7C8687D5	ExitVDM
000000BA	7C832A09	ExpandEnvironmentStringsA
000000BB	7C8305FE	ExpandEnvironmentStringsW
000000BC	7C871767	ExpungeConsoleCommandHistoryA
000000BD	7C87174F	ExpungeConsoleCommandHistoryW
000000BE	7C85FBCC	ExtendVirtualBuffer
000000BF	7C861D60	FatalAppExitA
000000C0	7C861D12	FatalAppExitW
000000C1	7C861DAE	FatalExit
000000C2	7C830665	FileTimeToDosDateTime
000000C3	7C80E906	FileTimeToLocalFileTime
000000C4	7C80E88C	FileTimeToSystemTime
000000C5	7C874184	FillConsoleOutputAttribute
000000C6	7C874139	FillConsoleOutputCharacterA
