导出, SHELL32.dll
序列	地址	名字
00000067	7D65F1B4	Activate_RunDLL
00000068	7D668B1F	AppCompat_RunDLLW
000002BB	7D66A253	CDefFolderMenu_Create
000002BC	7D66A2F2	CDefFolderMenu_Create2
000000A5	7D64D822	CallCPLEntry16
00000069	7D64B461	CheckEscapesA
0000006A	7D64B3B8	CheckEscapesW
0000006B	7D6113D8	CommandLineToArgvW
0000006C	7D641750	Control_FillCache_RunDLL
0000006D	7D641750	Control_FillCache_RunDLLA
0000006E	7D641845	Control_FillCache_RunDLLW
0000006F	7D642428	Control_RunDLL
00000070	7D642428	Control_RunDLLA
00000071	7D6424DA	Control_RunDLLAsUserW
00000072	7D642481	Control_RunDLLW
00000080	7D675653	DAD_AutoScroll
00000082	7D67EB48	DAD_DragEnterEx
00000015	7D67EAEF	DAD_DragEnterEx2
00000083	7D67EC7C	DAD_DragLeave
00000085	7D67EBA1	DAD_DragMove
00000087	7D67EBE1	DAD_SetDragImage
00000088	7D5DF724	DAD_ShowDragImage
00000073	7D5FA305	DllCanUnloadNow
00000074	7D5C28E9	DllGetClassObject
00000075	7D5D646B	DllGetVersion
00000077	7D681CAC	DllInstall
0000007B	7D5C9BC9	DllRegisterServer
0000007C	7D5C9BC9	DllUnregisterServer
00000084	7D64379A	DoEnvironmentSubstA
00000086	7D610DEF	DoEnvironmentSubstW
00000089	7D5FB239	DragAcceptFiles
0000008A	7D647D25	DragFinish
0000008B	7D647D36	DragQueryFile
0000008C	7D647D36	DragQueryFileA
0000008D	7D5E8379	DragQueryFileAorW
0000008E	7D5E8356	DragQueryFileW
0000008F	7D647CC8	DragQueryPoint
0000003F	7D5C0EFA	DriveType
00000095	7D642B3F	DuplicateIcon
000000C6	7D643655	ExtractAssociatedIconA
000000CD	7D643396	ExtractAssociatedIconExA
000000CE	7D6431CB	ExtractAssociatedIconExW
000000CF	7D643489	ExtractAssociatedIconW
000000D7	7D6434E7	ExtractIconA
000000D8	7D642B2E	ExtractIconEx
000000D9	7D642B2E	ExtractIconExA
000000DA	7D5C6D0F	ExtractIconExW
000000DB	7D64315F	ExtractIconResInfoA
000000DC	7D642C56	ExtractIconResInfoW
000000DD	7D6018CE	ExtractIconW
000000DE	7D5F96B9	ExtractVersionResource16W
000000DF	7D6E16FB	FindExeDlgProc
000000E0	7D60FA8C	FindExecutableA
000000E1	7D60FB1E	FindExecutableW
